Name,Chapter,Last edited time,Post ID
What do Architects really do?,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 1, 2023 9:48 PM",1
Fresh Grad to Architect,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 14, 2023 7:45 PM",2
Understanding how the Industry works,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 29, 2023 1:18 PM",3
"Parties Involved ",01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 19, 2023 10:14 PM",4
Design Process in Practice,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 19, 2023 10:14 PM",5
Working with Consultants,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 1, 2023 10:05 PM",6
Working with Clients,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 19, 2023 10:14 PM",7
Working with Contractors,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 19, 2023 10:14 PM",8
Working with Project Briefs,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 19, 2023 10:14 PM",9
Design & Coordination Basics,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 19, 2023 10:14 PM",10
Specialist Design Items,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 1, 2023 10:15 PM",11
Drawings & Specifications,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 19, 2023 10:14 PM",12
Building Compliance Basics,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 19, 2023 10:14 PM",13
"What is Good Building Design? ",01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 19, 2023 10:14 PM",14
Drafting / BIM conventions,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 1, 2023 10:16 PM",15
"Building Construction Technologies ",01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 1, 2023 10:24 PM",16
Future of Archi Practice / AI in the BE Industry,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 23, 2023 10:30 AM",17
Types of Architectural Practices,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 23, 2023 10:30 AM",18
Social Architecture,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"June 29, 2023 4:07 PM",19
Software & Tools for Architects,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 1, 2023 10:13 PM",21
Parametric Design in Practice,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 1, 2023 10:26 PM",22
Parametric Design in Construction,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 2, 2023 12:05 AM",23
Conservation / Adaptive Reuse,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 1, 2023 10:30 PM",24
Additions & Alterations,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 1, 2023 9:15 PM",25
Communication & Negotiation,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 2, 2023 12:59 AM",26
Salary and career progression tips,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 2, 2023 1:23 AM",27
"Getting Licensed ",01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 2, 2023 1:45 AM",28
Next steps,01 - Industry Basics (01%20-%20Industry%20Basics%2088d5568ead9f418fb62cee627ee077b1.md),"July 23, 2023 10:10 AM",29
